ID,Player,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
11,Elias Lindholm,C,56,745.15,13.31,55.96,49.92,52.85,42.19,39.54,51.63,30.60,29.39,51.01,3.06,2.34,56.72,2.15,1.97,52.11,26.17,23.19,53.02,9.10,8.37,52.07,1.69,1.29,56.76,22.76,19.75,53.54,0.97,0.86,52.94,36.99,33.38,52.56,0.81,0.58,58.33,10.00,92.05,1.02,10.79,14.90,10.95,45.25,49.63,20.45,19.65,19.32,51.42
12,Sean Monahan,C,50,653.72,13.07,50.30,50.94,49.68,39.28,39.74,49.71,27.53,29.46,48.31,1.84,1.74,51.28,2.08,1.95,51.60,24.14,24.32,49.81,9.82,9.64,50.47,0.92,0.92,50.00,19.09,19.58,49.37,0.73,0.98,42.86,33.14,34.20,49.21,0.53,0.13,80.00,6.67,94.08,1.01,12.67,12.12,8.99,45.43,58.47,21.02,16.06,16.70,55.72
13,Sam Bennett,C,38,448.97,11.81,55.86,51.72,51.93,42.10,38.76,52.07,29.27,29.27,50.00,2.27,4.01,36.17,2.13,2.26,48.51,26.46,24.72,51.70,9.35,11.09,45.75,0.67,2.00,25.00,22.81,18.18,55.65,1.78,2.32,43.48,35.90,33.40,51.81,0.39,0.39,50.00,7.76,86.30,0.94,11.63,12.70,6.55,49.98,63.97,19.11,18.04,13.10,59.34
14,Andrew Mangiapane,L,56,724.38,12.94,60.30,49.28,55.03,46.14,37.77,54.99,33.05,25.93,56.04,2.57,1.99,56.36,2.49,1.76,58.56,29.07,22.86,55.98,11.93,8.37,58.78,1.33,1.33,50.00,22.86,19.33,54.19,1.21,0.77,61.11,39.48,33.86,53.83,0.48,0.12,80.00,7.77,92.33,1.00,10.27,12.84,9.69,45.80,51.45,17.97,17.39,17.06,51.30
15,Noah Hanifin,D,47,840.80,17.89,54.88,48.60,53.03,41.89,37.46,52.79,30.11,26.26,53.42,2.14,2.07,50.85,2.25,1.83,55.20,26.47,21.69,54.96,10.35,7.78,57.09,1.00,1.21,45.16,21.50,18.55,53.68,1.05,1.05,50.00,36.08,33.19,52.08,0.41,0.10,80.00,7.11,92.12,0.99,6.85,13.27,8.14,50.17,45.71,17.13,19.48,17.70,49.18
16,Rasmus Andersson,D,56,921.82,16.46,55.00,54.87,50.06,40.29,42.50,48.66,28.51,30.46,48.34,2.60,2.73,48.78,2.08,2.34,47.04,24.99,26.62,48.42,9.96,11.26,46.93,1.30,1.56,45.45,20.05,20.48,49.46,1.21,1.13,51.85,37.42,36.67,50.51,0.56,0.38,60.00,9.13,91.03,1.00,7.75,12.69,9.11,54.87,45.95,18.09,18.81,17.77,50.45
17,Oliver Kylington,D,8,101.42,12.68,55.61,46.74,54.34,42.00,42.00,50.00,28.40,26.62,51.61,1.77,2.37,42.86,2.03,1.85,52.38,29.58,19.52,60.24,10.06,7.69,56.67,0.59,1.18,33.33,26.03,15.78,62.26,1.58,1.58,50.00,32.47,37.60,46.34,0.00,0.00,-,6.25,91.11,0.97,12.42,13.61,3.55,55.61,77.78,23.66,18.34,7.69,75.47
18,Derek Ryan,C,43,409.35,9.52,61.27,41.33,59.71,45.29,30.05,60.12,29.75,21.55,58.00,2.64,1.61,62.07,2.48,1.58,61.05,30.63,17.15,64.11,11.58,5.72,66.95,1.32,1.47,47.37,25.41,15.24,62.50,1.76,0.20,90.00,37.90,30.49,55.42,0.00,0.00,-,8.87,92.52,1.01,8.79,10.85,7.62,58.34,53.57,17.30,14.80,13.63,55.92
19,Dominik Simon,C,11,100.85,9.17,50.57,58.30,46.45,36.89,44.62,45.26,24.39,30.94,44.09,2.38,1.78,57.14,2.41,2.36,50.49,24.99,26.77,48.28,11.30,10.71,51.35,2.38,0.59,80.00,18.24,21.42,46.00,0.00,0.00,-,26.64,37.81,41.33,0.00,1.72,0.00,9.76,94.23,1.04,12.49,11.90,7.73,50.57,61.76,19.63,15.47,12.49,61.11
20,Matthew Tkachuk,L,56,780.87,13.94,59.86,47.95,55.52,44.72,37.88,54.14,32.04,27.43,53.88,3.15,2.23,58.57,2.35,1.92,55.04,28.28,23.67,54.44,10.83,8.91,54.86,1.77,1.46,54.76,23.26,19.67,54.18,1.02,0.51,66.67,38.96,30.30,56.25,0.78,0.55,58.33,9.83,91.88,1.02,9.76,14.68,10.76,44.80,47.57,18.83,19.75,18.29,50.72
21,Dillon Dube,C,51,611.43,11.99,55.64,51.03,52.16,42.20,39.55,51.62,30.22,30.42,49.84,2.75,2.45,52.83,2.08,1.94,51.68,26.69,22.57,54.18,9.03,7.85,53.49,1.18,1.47,44.44,23.55,19.63,54.55,1.18,0.79,60.00,36.14,35.44,50.50,0.85,0.43,66.67,9.09,91.94,1.01,8.83,12.46,9.03,51.13,49.45,15.50,17.07,16.98,47.73
22,Juuso Valimaki,D,49,665.42,13.58,57.35,50.86,53.00,42.83,39.85,51.80,30.57,29.67,50.75,2.80,2.89,49.21,2.34,2.03,53.54,27.23,24.89,52.25,10.64,9.11,53.88,1.26,1.44,46.67,22.12,21.04,51.25,1.68,1.32,56.00,37.64,33.47,52.93,0.39,0.65,37.50,9.14,90.27,0.99,8.66,7.12,4.60,61.95,65.31,17.94,12.35,10.37,63.38
